hexagram_id,line_number,hexagram_name_hanja,hexagram_name_korean,line_name_hanja,line_text_hanja,line_text_korean,modern_advice
1,1,"乾爲天","중천건","初九","初九 潛龍勿用","초구: 잠룡물용 - 물속에 잠겨 있는 용이니 쓰지 말라","아직 때가 오지 않았으니 도모하는 일을 서두르지 말고 조용히 내실을 다지십시오."
1,2,"乾爲天","중천건","九二","九二 見龍在田 利見大人","구이: 견룡재전 리견대인 - 밭에 용이 나타나니 귀인을 만남이 이롭다","자신의 재능이 세상에 드러나기 시작하는 시기입니다. 훌륭한 조력자나 상사를 만나 뜻을 펼치십시오."
1,3,"乾爲天","중천건","九三","九三 君子終日乾乾 夕惕若 厲無咎","구삼: 군자종일건건 석척약 여무구 - 종일 부지런히 노력하고 밤에도 경계하니 허물이 없다","성공에 자만하지 않고 겸손하게 성실함을 유지한다면 어떠한 위기도 슬기롭게 넘길 수 있습니다."
1,4,"乾爲天","중천건","九四","九四 或躍在淵 無咎","구사: 혹약재연 무구 - 혹은 도약하여 연못에 있으니 허물이 없다","도약할 시기인지 관망할 시기인지를 잘 판단하십시오. 소신 있는 과감한 결단이 필요한 때입니다."
1,5,"乾爲天","중천건","九五","九五 飛龍在天 利見大人","구오: 비룡재천 리견대인 - 날아오른 용이 하늘에 있으니 큰 사람을 만남이 이롭다","운기와 명예가 최고의 전성기를 맞이합니다. 리더십을 발휘하여 전진하되 주위 사람을 챙기십시오."
1,6,"乾爲天","중천건","上九","上九 亢龍有悔","상구: 항룡유회 - 너무 높이 올라간 용은 뉘우침이 있다","절정에 도달한 후에는 나아갈 때보다 물러설 때를 아는 지혜가 필요합니다. 과욕을 삼가십시오."
2,1,"坤爲地","중지곤","初六","初六 履霜 堅冰至","초육: 리상 견빙지 - 서리를 밟으니 곧 굳은 얼음이 이를 것을 안다","작은 징조를 소홀히 하지 마십시오. 다가올 위험이나 변화에 미리 대비하는 지혜가 필요합니다."
2,2,"坤爲地","중지곤","六二","六二 直方大 不習無不利","육이: 직방대 불습무불리 - 바르고 대대함에 배우지 않아도 이롭지 않음이 없다","순수하고 바른 마음가짐을 유지하면 억지로 애쓰지 않아도 자연스럽게 일이 성사됩니다."
2,3,"坤爲地","중지곤","六三","六三 含章可貞 或從王事 無成有終","육삼: 함장가정 혹종왕사 무성유종 - 아름다움을 품고 조용히 순응하여 훌륭한 마침을 보라","스스로 공을 자랑하기보다는 남을 돕는 겸손한 보조자 역할을 할 때 마침내 큰 결실을 얻습니다."
2,4,"坤爲地","중지곤","六四","六四 括囊 無咎無譽","육사: 괄낭 무구무예 - 주머니 입구를 동여매듯 말을 삼가니 허물도 명예도 없다","불필요한 구설수를 조심하십시오. 침묵을 지키고 자중하는 것이 자신을 지키는 길입니다."
2,5,"坤爲地","중지곤","六五","六五 黃裳 元吉","육오: 황상 원길 - 누런 치마를 입으니 최고의 길함이 있다","중용의 미덕과 온화한 성품을 유지할 때 주위의 존경을 받고 무사태평한 길운을 누립니다."
2,6,"坤爲地","중지곤","上六","上六 龍戰于野 其血玄黃","상육: 용전우야 기혈현황 - 들판에서 용이 싸우니 피가 검고 누르다","음과 양의 대립이 극에 달했습니다. 정면충돌을 피하고 한 걸음 물러서서 상황을 수습하십시오."
3,1,"水雷屯","수뢰둔","初九","初九 磐桓 利居貞 利建侯","초구: 반환 리거정 리건후 - 머뭇거리나 바르게 지킴이 이롭고 제후를 세움이 이롭다","시작 단계에서 주저함이 있으나 서두르지 말고 중심을 지키며 유능한 조력자를 확보하십시오."
3,2,"水雷屯","수뢰둔","六二","六二 屯如邅如 乘馬班如 匪寇婚媾 女貞不字 十年乃字","육이: 둔여전여 승마반여 - 막히고 주저하여 말을 타고 방황하나 도적이 아니요 구혼함이라","당장 오해가 있거나 진행이 더디더라도 조급해하지 말고 진실함을 지키면 시간이 흘러 결실을 봅니다."
3,3,"水雷屯","수뢰둔","六三","六三 即鹿無虞 惟入于林中 君子幾不如舍 往吝","육삼: 즉록무구 유입우림중 - 길잡이 없이 사슴을 쫓아 숲속으로 들어가니 군자가 머무름만 못하다","전문가의 가이드 없이 무모하게 추진하면 길을 잃습니다. 무리한 탐욕을 버리고 쉬어 가십시오."
3,4,"水雷屯","수뢰둔","六四","六四 乘馬班如 求婚媾 往吉 無不利","육사: 승마반여 구혼구 왕길 무불리 - 말을 타고 나아가 청혼하니 가면 길하여 이롭지 않음이 없다","주저함을 끝내고 진정성 있게 파트너십을 추진하십시오. 겸손하게 협력하면 큰 이로움이 있습니다."
